framework	molecule	temperature_K	pressure_Pa	loading_mol_per_kg
Bhathia_01	R125	303.0	28955.77472	0.641992514
Bhathia_01	R125	303.0	29813.3359	0.651582393
Bhathia_01	R125	303.0	30696.29481	0.661274619
Bhathia_01	R125	303.0	31605.40365	0.671069242
Bhathia_01	R125	303.0	32541.43687	0.680966259
Bhathia_01	R125	303.0	33505.19188	0.690965612
Bhathia_01	R125	303.0	34497.48969	0.701067183
Bhathia_01	R125	303.0	35519.17563	0.71127079
Bhathia_01	R125	303.0	36571.12006	0.721576183
Bhathia_01	R125	303.0	37654.21913	0.731983034
Bhathia_01	R125	303.0	38769.39553	0.742490937
Bhathia_01	R125	303.0	39917.59925	0.7530994
Bhathia_01	R125	303.0	41099.80846	0.763807837
Bhathia_01	R125	303.0	42317.03025	0.774615566
Bhathia_01	R125	303.0	43570.30158	0.785521798
Bhathia_01	R125	303.0	44860.69009	0.796525636
Bhathia_01	R125	303.0	46189.29506	0.807626059
Bhathia_01	R125	303.0	47557.24831	0.818821926
Bhathia_01	R125	303.0	48965.7152	0.83011196
Bhathia_01	R125	303.0	50415.89558	0.841494747
Bhathia_01	R125	303.0	51909.02484	0.852968723
Bhathia_01	R125	303.0	53446.37499	0.864532172
Bhathia_01	R125	303.0	55029.25566	0.876183217
Bhathia_01	R125	303.0	56659.01531	0.88791981
Bhathia_01	R125	303.0	58337.04231	0.899739729
Bhathia_01	R125	303.0	60064.76616	0.911640572
Bhathia_01	R125	303.0	61843.6587	0.923619744
Bhathia_01	R125	303.0	63675.23534	0.93567446
Bhathia_01	R125	303.0	65561.0564	0.947801731
Bhathia_01	R125	303.0	67502.72839	0.959998365
Bhathia_01	R125	303.0	69501.9054	0.97226096
Bhathia_01	R125	303.0	71560.29052	0.984585897
Bhathia_01	R125	303.0	73679.63726	0.996969344
Bhathia_01	R125	303.0	75861.75109	1.009407246
Bhathia_01	R125	303.0	78108.49092	1.021895328
Bhathia_01	R125	303.0	80421.77074	1.034429093
Bhathia_01	R125	303.0	82803.56122	1.047003823
Bhathia_01	R125	303.0	85255.89137	1.059614578
Bhathia_01	R125	303.0	87780.85031	1.0722562
Bhathia_01	R125	303.0	90380.58905	1.084923317
Bhathia_01	R125	303.0	93057.32228	1.097610348
Bhathia_01	R125	303.0	95813.33028	1.110311507
Bhathia_01	R125	303.0	98650.96087	1.123020811
Bhathia_01	R125	303.0	101572.6314	1.13573209
Bhathia_01	R125	303.0	104580.8309	1.148438993
Bhathia_01	R125	303.0	107678.1218	1.161135002
Bhathia_01	R125	303.0	110867.143	1.173813444
Bhathia_01	R125	303.0	114150.6109	1.186467502
Bhathia_01	R125	303.0	117531.3228	1.19909023
Bhathia_01	R125	303.0	121012.1587	1.211674569
Bhathia_01	R125	303.0	124596.0838	1.224213362
Bhathia_01	R125	303.0	128286.1513	1.236699371
Bhathia_01	R125	303.0	132085.5048	1.249125297
Bhathia_01	R125	303.0	135997.3808	1.261483796
Bhathia_01	R125	303.0	140025.1119	1.273767499
Bhathia_01	R125	303.0	144172.1292	1.285969031
Bhathia_01	R125	303.0	148441.9656	1.29808103
Bhathia_01	R125	303.0	152838.2585	1.310096168
Bhathia_01	R125	303.0	157364.7531	1.322007172
Bhathia_01	R125	303.0	162025.3054	1.333806839
Bhathia_01	R125	303.0	166823.8857	1.34548806
Bhathia_01	R125	303.0	171764.582	1.357043838
Bhathia_01	R125	303.0	176851.6031	1.368467304
Bhathia_01	R125	303.0	182089.2826	1.379751738
Bhathia_01	R125	303.0	187482.0825	1.390890583
Bhathia_01	R125	303.0	193034.5969	1.401877464
Bhathia_01	R125	303.0	198751.5559	1.4127062
Bhathia_01	R125	303.0	204637.8297	1.423370822
Bhathia_01	R125	303.0	210698.4328	1.433865581
Bhathia_01	R125	303.0	216938.5282	1.444184963
Bhathia_01	R125	303.0	223363.4317	1.454323698
Bhathia_01	R125	303.0	229978.6167	1.464276771
Bhathia_01	R125	303.0	236789.7186	1.474039425
Bhathia_01	R125	303.0	243802.5398	1.483607173
Bhathia_01	R125	303.0	251023.0544	1.492975799
Bhathia_01	R125	303.0	258457.4134	1.502141365
Bhathia_01	R125	303.0	266111.9502	1.511100208
Bhathia_01	R125	303.0	273993.1856	1.519848946
Bhathia_01	R125	303.0	282107.8336	1.528384478
Bhathia_01	R125	303.0	290462.8069	1.536703978
Bhathia_01	R125	303.0	299065.2232	1.544804896
Bhathia_01	R125	303.0	307922.4106	1.552684955
Bhathia_01	R125	303.0	317041.9147	1.560342146
Bhathia_01	R125	303.0	326431.5041	1.567774719
Bhathia_01	R125	303.0	336099.1779	1.574981184
Bhathia_01	R125	303.0	346053.1719	1.581960296
Bhathia_01	R125	303.0	356301.9657	1.588711055
Bhathia_01	R125	303.0	366854.2903	1.595232693
Bhathia_01	R125	303.0	377719.135	1.601524667
Bhathia_01	R125	303.0	388905.7556	1.607586651
Bhathia_01	R125	303.0	400423.6818	1.613418524
Bhathia_01	R125	303.0	412282.7257	1.619020364
Bhathia_01	R125	303.0	424492.9899	1.624392438
Bhathia_01	R125	303.0	437064.8762	1.629535189
Bhathia_01	R125	303.0	450009.0945	1.634449228
Bhathia_01	R125	303.0	463336.6719	1.639135328
Bhathia_01	R125	303.0	477058.962	1.643594408
Bhathia_01	R125	303.0	491187.6548	1.647827529
Bhathia_01	R125	303.0	505734.7863	1.65183588
Bhathia_01	R125	303.0	520712.7492	1.655620773
Bhathia_01	R125	303.0	536134.303	1.659183631
Bhathia_01	R125	303.0	552012.5852	1.662525982
Bhathia_01	R125	303.0	568361.1225	1.66564945
Bhathia_01	R125	303.0	585193.8419	1.668555743
Bhathia_01	R125	303.0	602525.0833	1.671246654
Bhathia_01	R125	303.0	620369.6108	1.673724044
Bhathia_01	R125	303.0	638742.6261	1.67598984
Bhathia_01	R125	303.0	657659.7811	1.678046031
Bhathia_01	R125	303.0	677137.1911	1.679894654
Bhathia_01	R125	303.0	697191.4487	1.681537796
